# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
小さな|小さな|ちいさな|작은|소
朝|朝|あさ|아침|조
光|光|ひかり|빛|광
疲れ|疲れる|つかれる|지치다|피
眠る|眠る|ねむる|잠들다|면
愛|愛|あい|사랑|애
流れ|流れる|ながれる|흐르다|류
時|時|とき|때·시|시
多|多い|おおい|많다|다
様|様|よう|모양·듯|양
二人|二人|ふたり|두 사람|이인
窓|窓|まど|창문|창
風|風|かぜ|바람|풍
目覚め|目覚める|めざめる|잠에서 깨다|목각
君|君|きみ|너·그대|군
頬|頬|ほお|뺨|협
幸せ|幸せ|しあわせ|행복|행
昨晩|昨晩|さくばん|어젯밤|작만
強く,強|強い|つよい|강하다·잘하다|강
抱きしめ|抱き締める|だきしめる|꼭 껴안다|포체
初めて|初めて|はじめて|처음|초
出会っ|出会う|であう|(우연히) 만나다|출회
日|日|ひ|날·해|일
僕|僕|ぼく|나(남자의 1인칭)|복
空|空|そら|하늘|공
花|花|はな|꽃|화
名前|名前|なまえ|이름|명전
街|街|まち|거리|가
草|草|くさ|풀|초
時々|時々|ときどき|가끔|시반복
終り|終わり|おわり|끝|종
悲しい|悲しい|かなしい|슬프다|비
夢|夢|ゆめ|꿈|몽
見る|見る|みる|보다|견
胸|胸|むね|가슴|흉
人生|人生|じんせい|인생|인생
生きる|生きる|いきる|살다|생
行く|行く|いく|가다|행
方|方|かた|쪽·편|방
答|答え|こたえ|답|답
暮らし|暮らし|くらし|삶·생활|모
変え|変える|かえる|바꾸다|변
無理|無理|むり|무리·억지|무리
形|形|かたち|모양·틀|형
育くむ|育む|はぐくむ|키우다|육
街角|町角|まちかど|길모퉁이|정각
口|口|くち|입|구
狂っ|狂う|くるう|미치다·어긋나다|광
踏みにじら|踏み躙る|ふみにじる|짓밟다|답린
