# 음성 인식 오인식 교정. 형식: id|교정문   (id 는 raw/asr.json 의 순번)
# 확신이 있는 고유명사·명백한 오인식만 고친다. 애매한 곳은 손대지 않고 원문을 그대로 둔다.
# 교정한 줄은 앱 카드에 원문(raw)을 함께 보여준다.
3|野口也英役の満島ひかりです。
4|私は23歳からの野口也英さんを任されてたんですけど、
8|並木晴道役を演じました佐藤健です
9|晴道は単純な性格なので
10|也英を守りたい
12|人を守るために航空自衛隊に入って
13|まあでもその後、現在では
19|下ろして可愛く髪の毛結ったりとか
26|それがお芝居に溶け込む人って、あまり日本人の中で少ないと思うので
32|つまり行動原理が、也英に笑ってほしいとか
33|也英に苦しんでほしくないとか
34|健くんとは、カメラテストを結構しっかりやっていて
36|まだ全然晴道じゃなくて
38|現場に来た時にはもう完全に晴道になってたから
43|志の高さみたいなのはすごく共通していて
46|健くんはしっかり構築していくタイプだから
50|やっぱり満島さんみたいな
57|八木莉可子ちゃんが同じ役を演じていて
58|満島ひかりさんと同じ役を演じさせていただくので
60|ひかりさんに言われたのは、莉可子ちゃんのそのキラキラしたのがそのまま映像に写ればいいねって言っていただいて
64|ひかりさんはすごく丁寧に、あの、物を持たれるんですね
93|食事のシーンが来るとみんながガッツポーズで
105|莉可子ちゃんとか
118|神秘的な雲海が出た日とか
122|パイロットを役としてでも座れたのは非常にテンションが上がりました
123|ただやっぱり所作とかセリフとかは難しかったです
132|歌詞を、「Automatic」も入れて
136|出来上がったドラマを見た時に「First Love」が流れてるところが本当にいいんですよ
141|活版印刷っていうの
148|三色以内で
162|寒竹さんは自分が今まで生きてきた人生で
163|持てる限りの美しいとか愛おしいと思うものを
