# 形式: id|読み(カタカナ, 文節で区切る)|注記(日本語)   — id は subtitles.ko.srt の行番号
# 英語だけの行は読みなし。読みは歌いやすさ優先の近似で、連音(リエゾン)を反映している。
1|You イルン アチム ヘヌン ノム ットゥゴプコ|이르다=早い → 이른 아침=早朝。뜨겁다=熱い。-고=〜て(並列)
2|ッチャジュンマン タオルラ|짜증=イライラ, 타오르다=燃え上がる → 짜증이 타오르다=苛立ちが募る
3|チョクショド ケソク モギ タジ|적시다=潤す。-아/어도=〜ても。목이 타다=喉が渇く(直訳「喉が燃える」)。-지=〜だよね
4|クッテン プルロバ I'll be right there from now|그땐=그때는(その時は)。부르다+아 보다=呼んでみる(命令)
6|ックンジョギン Sweaty sweaty|끈적이다=べたつく の連体形
7|チチン トシ ソン ノル ッケウォネル My siren I like that|지치다=疲れる。속=中。널=너를。깨워내다=目覚めさせる(깨우다+내다)。-ㄹ=未来連体形
8|ノマン イッタミョン I'm okay|-만=〜さえ・だけ。있다면=いるなら(仮定の -다면)
9|オンジェドゥン Day and night|언제든(지)=いつでも
12|ネ マムソク Delight|네=君の(発音は 니)。맘=마음(心)。속=中
22|Heat and sweat タンスメ フ セゲ blow|단숨에=一息に。후=フーッ(息を吹く音)。세게=強く(세다の副詞形)
23|We got that イデロ go with the flow|이대로=このまま
24|タルラジン オンド チャオルン ソルレム overload|달라지다=変わる。온도=温度。차오르다=こみ上げる。설렘=ときめき
25|チャ チグムプト ットゥィオドゥロ Ready set you go|자=さあ。-부터=〜から。뛰어들다=飛び込む(命令形 뛰어들어)
26|Don't be worried ットゥゴウン ヨルギ|뜨겁다の連体形 뜨거운(ㅂ変則)。열기=熱気
27|ソンジッ ハン ボネ タ スムジュギョ|손짓=手の合図。한 번에=一度で。다=みんな。숨죽이다=息を潜める
29|オンジェ オディドゥン I'll be there|언제 어디든=いつどこでも
30|オンジェドゥン Day and night|언제든(지)=いつでも
33|ネ マムソク Delight|네 맘속=君の心の中
43|タシ ット ヨルミ タガオミョン|다시 또=また再び。다가오다=近づく。-면=〜たら
44|マラジ アナド アル ス イッソ|-지 않아도=〜なくても。-ㄹ 수 있다=〜できる
45|チチン ノルル クハル パンボブル|구하다=救う。방법=方法。-을=〜を(前行の「分かる」にかかる倒置)
47|キロットン Day and night|길다=長い。-었던=〜だった(回想の連体形)
50|ネ マム タ Untie|다=全部
