# 학습 탭 데이터.  형식:  종류|영어|한국어 뜻|메모     E = 표현·문형   V = 단어
# --- 표현 ---------------------------------------------------
E|seriously nervous|심각하게 불안한|getting + 비교 = 변화 중
E|it starts here|여기서 시작됩니다|
E|the answer is no|답은 아니요입니다|자문자답
E|partly to blame|일부 책임이 있다|be to blame = 책임이 있다
E|cannot explain|설명하지 못한다|
E|for the first time|처음으로|
E|kept intact|온전하게 유지되다|intact = 손상되지 않은
E|transition away from|~에서 벗어나는 전환|
E|what could take us|무엇이 우리를 데려갈까|
E|we know it|우리는 알고 있습니다|짧은 단언
E|more than that|그 이상입니다|
E|by 2050|2050년까지|기한 표현
E|this means|이것이 뜻하는 바는|
E|concerns us|우리를 걱정하게 한다|concern = 걱정시키다(타동사)
E|there is still|그래도 아직 ~이 있다|희망을 남기는 전환
E|we now need|이제 우리는 ~해야 합니다|
E|not only|~뿐 아니라|
E|no longer|더 이상 ~ 아니다|
E|the more|~할수록|the 비교급 상관 구문
E|even if|설령 ~라도|
# --- 단어 ---------------------------------------------------
V|climate|기후|
V|planet|행성·지구|
V|planetary|행성의|planetary boundaries = 지구 위험 한계선
V|degrees|도|섭씨 온도 단위
V|Celsius|섭씨|
V|temperature|온도|
V|earth|지구|
V|ocean|바다|
V|carbon|탄소|
V|dioxide|이산화물|carbon dioxide = 이산화탄소
V|warming|온난화|
V|tipping|기울어지는|tipping point = 임계점
V|surface|표면|
V|stability|안정성|
V|evidence|증거|
V|scientific|과학적인|
V|science|과학|
V|percent|퍼센트|
V|decade|10년|
V|nature|자연|
