# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
普通|普通|ふつう|보통|보통
旧話|旧話|きゅうわ|(인식 불명확)|구화
見,見る|見る|みる|보다|견
壮大|壮大|そうだい|웅장함|장대
新しい|新しい|あたらしい|새롭다|신
挑戦|挑戦|ちょうせん|도전|도전
思っ,思う,思い|思う|おもう|생각하다|사
新鮮|新鮮|しんせん|신선|신선
面白い,面白かっ|面白い|おもしろい|재미있다|면백
野口|ノグチ|のぐち|노구치(성)|
英|英|えい|영(이름 글자)|영
役|役|やく|도움·역할|역
満島|ミツシマ|みつしま|미츠시마(성)|
私|私|わたくし|나·저|사
歳|歳|とし|세·살|세
野口|野口|のぐち|노구치(성)|야구
任さ|任す|まかす|맡기다|임
目指し|目指す|めざす|목표로 하다|목지
色々|色々|いろいろ|여러 가지|색반복
運転|運転|うんてん|운전|운전
手|手|て|손|수
素朴|素朴|そぼく|소박|소박
生活|生活|せいかつ|생활|생활
女性|女性|じょせい|여성|녀성
並木|ナミキ|なみき|나미키(성)|
晴道|ハルミチ|はるみち|하루미치(이름)|
演じ,演じる|演ずる|えんずる|연기하다|연
佐藤|サトウ|さとう|사토(성)|
健|ケン|けん|켄(이름)|
単純|単純|たんじゅん|단순|단순
性格|性格|せいかく|성격|성격
守り,守る|守る|まもる|지키다|수
大切|大切|たいせつ|소중함|대절
人|人|ひと|사람|인
航空|航空|こうくう|항공|항공
自衛|自衛|じえい|자위|자위
隊|隊|たい|대(부대)|대
入っ|入る|はいる|들어가다·들어 있다|입
後|後|あと|뒤·다음|후
現在|現在|げんざい|현재|현재
警備|警備|けいび|경비|경비
員|員|いん|~원(사람)|원
仕事|仕事|しごと|일·직업|사사
毎日|毎日|まいにち|매일|매일
撮影|撮影|さつえい|촬영|촬영
中|中|なか|안·중|중
時代|時代|じだい|시대|시대
飛ぶ|飛ぶ|とぶ|(시간이) 건너뛰다·날다|비
結構|結構|けっこう|꽤|결구
大変|大変|たいへん|힘듦|대변
割と|割と|わりと|비교적·꽤|할
目|目|め|~번째·눈|목
助け|助ける|たすける|돕다·구하다|조
最初|最初|さいしょ|처음|최초
子育て|子育て|こそだて|육아|자육
下ろし|下ろす|おろす|(머리를) 내리다|하
可愛く,可愛かっ|可愛い|かわいい|귀엽다|가애
髪の毛|髪の毛|かみのけ|머리카락|발모
結っ|結う|ゆう|(머리를) 묶다|결
大きく|大きい|おおきい|크다|대
芝居|芝居|しばい|연기·연극|지거
分ける|分ける|わける|나누다·구분하다|분
若い|若い|わかい|젊다|약
代|代|だい|~대(연령)|대
時|時|じ|때·시|시
目線|目線|めせん|시선|목선
対する|対する|たいする|대하다|대
目つき|目付き|めつき|눈매|목부
強い,強|強い|つよい|강하다·잘하다|강
方|方|ほう|쪽·편|방
場所|場所|ばしょ|장소|장소
分かっ|分かる|わかる|알다|분
動物|動物|どうぶつ|동물|동물
感じ|感じ|かんじ|느낌|감
自分|自分|じぶん|자기|자분
状況|状況|じょうきょう|상황|상황
把握|把握|はあく|파악|파악
反応|反応|はんのう|반응|반응
女優|女優|じょゆう|여배우|녀우
言葉|言葉|ことば|말|언엽
逆|逆|ぎゃく|반대·거꾸로|역
嘘|嘘|うそ|거짓말|허
熱|熱|ねつ|열|열
上昇|上昇|じょうしょう|상승|상승
正直|正直|しょうじき|솔직함|정직
溶け込む|溶け込む|とけこむ|녹아들다|용입
日本|日本|にっぽん|일본|일본
少ない|少ない|すくない|적다|소
本|本|ほん|~권(책 세는 말)·본래|본
読める|読む|よむ|읽다|독
風|風|かぜ|식·모양|풍
出し|出す|だす|내다|출
欲しい|欲しい|ほしい|바라다·원하다|욕
一切|一切|いっさい|일절·전혀|일절
