# 한자어 사전. 형식: 어간(쉼표로 여럿)|표제(사전형)|일본어 독음|뜻|한국 한자음  (자동생성)
空|空|そら|하늘|공
何|何|なに|무엇|하
見つめ|見詰める|みつめる|지그시 바라보다|견힐
星|星|ほし|별|성
君|君|きみ|너|군
僕|僕|ぼく|나(남자의 1인칭)|복
寄り添っ|寄り添う|よりそう|바싹 다가붙다·기대다|기첨
泣い,泣か|泣く|なく|울다|읍
笑っ|笑う|わらう|웃다|소
繋い,繋ぐ,繋ごう|繋ぐ|つなぐ|잇다·연결하다|계
何十|何十|なんじゅう|몇십|하십
回|回|かい|회·번|회
何百|何百|なんびゃく|몇백|하백
年|年|ねん|년·해|년
昔|昔|むかし|옛날|석
光|光|ひかり|빛|광
自身|自身|じしん|자신|자신
忘れ|忘れる|わすれる|잊다|망
届い|届く|とどく|닿다·도착하다|계
見つけ|見付ける|みつける|찾아내다|견부
手繰り|手繰る|たぐる|(줄을) 끌어당기다|수조
同じ|同じ|おなじ|같음|동
輝く|輝く|かがやく|빛나다|휘
二人|二人|ふたり|두 사람|이인
約束|約束|やくそく|약속|약속
遥か|遥か|はるか|아득히|요
遠く|遠い|とおい|멀다|원
終わら|終わる|おわる|끝나다|종
誰|誰|だれ|누구|수
魔法|魔法|まほう|마법|마법
肩|肩|かた|어깨|견
並べ|並べる|ならべる|나란히 하다|병
手|手|て|손|수
取り合っ|取り合う|とりあう|서로 잡다|취합
進ん|進む|すすむ|나아가다|진
辛い|辛い|つらい|괴롭다·힘들다|신
時|時|とき|때·시|시
誓っ|誓う|ちかう|맹세하다|서
見える,見え|見える|みえる|보이다|견
祈り|祈り|いのり|기도|기
記憶|記憶|きおく|기억|기억
辿る|辿る|たどる|더듬다·따라가다|천
蘇る|蘇る|よみがえる|되살아나다|소
居|居る|いる|있다|거
今日|今日|きょう|오늘|금일
照らし|照らす|てらす|비추다|조
生き|生きる|いきる|살다|생
不安|不安|ふあん|불안|불안
強がる|強がる|つよがる|강한 척하다|강
大丈夫|大丈夫|だいじょうぶ|괜찮음|대장부
横|横|よこ|옆|횡
線|線|せん|선|선
