# 형식: id|한국어 뜻|주석   — id 는 seg.py 의 분할 결과(segs.json)에 대응.
# 말투: 내레이션은 문어체(~다), 에밀리 창(진행자)·리 박사는 해요체.
1|산책하면서 얘기하는 걸 좋아하신다고 들었어요.|walk and talk = 걸으며 하는 대화·회의
2|네, 우리가 너무 앉아 있으니까요. 그리고 회사가 바로 이 공원 옆이라 좋아요.|next to = ~ 바로 옆에
3|여기선 항상 AI 얘기만 하나요?|all the time = 항상
4|다른 사람들은 모르겠지만, 저는 늘 AI 얘기를 해요. 아는 게 그것뿐이라서요.|that's the only thing I know = 아는 게 그것뿐이다 (겸손한 농담)
5|페이페이 리는 기계에게 보는 법을 가르치는 AI 의 한 분야, 컴퓨터 비전의 거장이다.|a giant in the field of = ~ 분야의 거장 / dedicated to = ~에 바쳐진
6|그는 현대 AI 혁명에 불을 붙인 시각 자료 라이브러리 ImageNet 으로 돌파구를 열었고, 'AI 의 대모'라는 칭호를 얻었다.|make a breakthrough = 돌파구를 열다 / spark = 불을 붙이다 / earn her the title = 그에게 칭호를 안기다
7|그리고 그 뒤로 줄곧 스탠퍼드 교수, 구글 임원, 미국 대통령들의 자문, 사람을 위한 AI 의 끈질긴 옹호자로서 AI 의 중심에 있어 온 선구자다.|ever since = 그 뒤로 줄곧 / relentless advocate = 끈질긴 옹호자
8|저는 AI 리더들이 인류에게 힘을 실어 주는 얘기를 충분히 하지 않는다고 느껴요.|empower humanity = 인류에게 힘을 주다
9|인류를 대체하고 일자리를 대체하는 얘기만 너무 많이 하죠.|replace = 대체하다
10|이제 그는 화려한 이력에 스타트업 공동창업자를 더하고 있다.|add ~ to one's resume = 이력에 ~을 더하다
11|직접 회사를 운영하는 건 어때요?|run your own shop = 자기 가게(회사)를 꾸리다
12|타이거 맘이 된 기분이에요.|tiger mom = 엄격한 교육열의 어머니
13|나머지 AI 업계가 ChatGPT·Claude 같은 대형 언어 모델에 판돈을 키우는 동안, 리는 새로운 개척지인 월드 모델에 걸고 있다.|double down on = ~에 더 크게 걸다 / bet on = ~에 걸다
14|문장의 다음 단어가 아니라 현실 세계에서 다음에 일어날 일을 예측하는 AI 를 만들고 있다.|predict what happens next = 다음에 일어날 일을 예측하다
15|그럼 결국 월드 모델이 할 수 있고 LLM 은 영원히 못 할 일은 뭔가요?|ultimately = 궁극적으로
16|말이 불을 끌 수 있나요? 말이 오믈렛을 만들 수 있나요?|put down fires = 불을 끄다 (put out 이 일반적)
17|리와 그의 스타트업 World Labs 는 월드 모델이 AI 의 다음 큰 도약이라는 같은 판돈을 건 경쟁자들로 붐비는 분야에서 겨루고 있다.|a crowded field of rivals = 경쟁자로 붐비는 분야 / the next big leap = 다음 큰 도약
18|AI 가 이렇게 커질 줄 상상하셨나요?|
19|문명 전체가 AI 로 재정의될 거라고 상상했느냐고요?|redefine = 재정의하다
20|문화적 변동, 지정학적 지형까지요? 그건 상상 못 했을 거예요.|geopolitical landscape = 지정학적 지형 / would not have imagined = 상상하지 못했을 것이다 (가정법 과거완료)
21|선도적인 AI 과학자가 되기 전, 리는 세상을 바라보는 호기심 많은 아이였다.|leading = 선도적인
22|어린 시절의 페이페이는 어떤 아이였나요?|
23|1980~90년대 중국이었고, 제 고향은 청두였어요.|
24|아버지가 자연에 호기심이 많은 분이라 벌레를 쫓고 강아지를 따라다니고 산에 가서 아버지와 그림을 그리는 일을 듬뿍 했죠.|a curious soul = 호기심 많은 사람 / a dosage of = ~을 한 움큼 (dose 의 변형)
25|그리고, 독서요.|
26|머리를 짧게 자르고, 항공우주와 물리학을 사랑하고. 스스로를 반항아라고 생각하셨나요?|see yourself as = 스스로를 ~로 여기다 / rebel = 반항아
27|아이였을 때요? 사춘기 전이었죠.|preteen = 십 대 이전(10~12세)
28|자기 존재를 드러내고 싶으니까 거의 반항아가 될 수밖에 없어요.|make a statement for yourself = 자기 주장을 드러내다
29|하지만 자연과 과학과 물리학에 대한 사랑, 항공우주와 우주에 대한 사랑, 그건 제 정체성의 일부예요.|part of my identity = 정체성의 일부
30|중국에서 미국 뉴저지로 이민 오셨죠. 90년대에요.|emigrate from A to B = A 에서 B 로 이민 가다
31|네.|
32|그때 십 대로 여기 오는 건 어땠나요?|back then = 그 당시
33|힘들었어요.|tough = 힘든
34|십 대에 문화·언어·삶 전부가 바뀌는 건 아마 가장 힘든 시기예요. 자기가 누군지 찾는 중인데 갑자기 세상조차 모르게 되니까요.|shifting the whole thing = 모든 걸 바꾸는 것 / find who you are = 자기가 누구인지 찾다
35|리는 영어를 익히고 고등학교를 마쳤으며, 주말에는 가족의 세탁소를 꾸리면서 프린스턴에서 물리학을 공부했고,|while running the family business = 가업을 꾸리면서
36|꿈을 좇아 칼텍으로 가 박사 학위를 받고 컴퓨터 과학자가 되었다.|follow one's dreams = 꿈을 좇다 / earn a PhD = 박사 학위를 받다
37|그때부터 인공지능을 연구해 오셨어요. 아주 비주류였죠.|super niche = 아주 틈새의·비주류의
38|네.|
39|당시 그 분야는 어땠나요?|
40|아름다운 시절이었어요.|
41|돈도 없고 권력도 없고 요란함도 없고 과대광고도 없었으니 정말 순수한 호기심이었죠.|fanfare = 요란한 선전 / hype = 과대광고·과열
42|과학자들이 하늘을 올려다보고 바다 밑으로 내려가듯 우리도 그저 그렇게 있었어요. 저는 깊이 궁금했어요.|just the same as = ~와 똑같이
43|AI 는 어떻게 보고, 그건 당신이나 제가 보는 것과 어떻게 다른가요?|
44|우리는 눈으로 감각 체계를 움직여 그걸 뇌 속 신호로 바꾸고, 뇌가 연산을 해요.|sensory system = 감각 체계 / turn A into B = A 를 B 로 바꾸다
45|컴퓨터도 크게 다르지 않아요.|not that different = 그렇게 다르지 않다
46|세상의 패턴을 학습하고 사물·색·환경을 이해해야 하죠.|
47|본다는 것의 많은 부분은 사람이 행동하도록 준비시키는 거예요.|prepare ~ to act = ~가 행동하도록 준비시키다
48|오늘 아침에 일어나 아이들을 안고, 아래층에 내려가 아침을 차리고, 열쇠를 집어 직장으로 운전하죠.|grab your key = 열쇠를 집다
49|지금까지 제가 묘사한 모든 걸, 당신은 공간 지능으로 해낸 거예요.|spatial intelligence = 공간 지능 (리 박사의 핵심 용어)
50|그럼 컴퓨터가 그걸 하게 만드는 건 분명 어렵겠네요.|it's got to be hard = 어려울 게 틀림없다 (got to = must)
51|네.|
52|리는 2006년에 이미 이 문제에 매달리고 있었다.|back in 2006 = 2006년 당시
53|알고리즘이 더 똑똑해지려면 데이터가 필요하다고 보았기에, 그는 2만 1천여 범주에 1,400만 장의 사진을 담은 당시 최대 규모의 목록 ImageNet 을 구축했다.|massive catalog = 방대한 목록 / the largest assembled at that time = 당시 조립된 것 중 최대
54|그럼 ImageNet 의 계기는 뭐였나요?|spark = 계기·불씨
55|아무도 데이터에 주목하지 않았어요.|pay attention to = ~에 주목하다
56|학생들과 저는 학습이 데이터로 구동돼야 한다는 깨달음을 얻었죠.|epiphany = 깨달음·통찰의 순간 / driven by data = 데이터로 구동되는
57|2010년, 리는 ImageNet 을 경진대회로 바꿨다.|turn A into B = A 를 B 로 바꾸다
58|누가 가장 많은 이미지를 정확히 식별하는 최고의 알고리즘을 만들 것인가?|identify = 식별하다
59|2012년, 제프리 힌턴의 토론토대 팀이 NVIDIA 그래픽카드로 구동되는 알고리즘 AlexNet 으로 참가했다.|enter with = ~로 (대회에) 참가하다 / powered by = ~로 구동되는
60|그 결과는 전환점이 되었다.|mark a turning point = 전환점이 되다
61|방대한 데이터, 신경망, GPU 연산력의 조합은 현대 AI 의 황금 레시피가 되었고 리의 유산을 굳혔다.|golden recipe = 황금 레시피·성공 공식 / cement one's legacy = 유산을 굳히다
62|이걸 보면 어떤 기분이 드세요?|
63|우리 여덟 명이 아니에요. 인류 전체죠. 그게 진짜 핵심이에요.|the main story = 핵심 이야기
64|이건 약 백 년 전, 산업화가 한창이고 도시의 큰 스카이라인이 세워지던 때의 사진에서 온 거니까요.|in the booming phase = 한창 붐이던 시기
65|그건 문명사적 순간이었어요.|civilizational moment = 문명 차원의 순간
66|여기 이름이 오른 건 대단한데, 사진을 가운데 맞출 수는 없었을까요?|be recognized = 인정받다 / center the photo = 사진을 가운데 맞추다
67|에이. 맞는 말이에요, 이쪽에 공간이 더 있잖아요.|Come on = 에이·왜 이래요
68|몇 년 전에 'AI 의 대모'라는 것에 대해 여쭤봤었죠.|
69|그러셨죠.|You did = 그랬죠 (앞 문장의 동사를 did 로 받음)
70|그 호칭에 대해 어떻게 느끼세요?|
71|있잖아요 에밀리, 저는 제 자신을 무엇의 대모라고도 부르지 않을 거예요.|would never call myself ~ = 결코 스스로를 ~라 부르지 않겠다
72|기억나세요 에밀리, 물어보셨을 때 저는 "어…" 했죠.|I was like, oh = 나는 '어…' 했다 (be like 인용)
73|저는 스스로를 무엇의 대모로 생각하지 않기 때문에 당황했어요.|be taken aback = 당황하다·허를 찔리다
74|그건 제 성격이 아니에요. 저는 일에 집중해요.|
75|그 자리에서 그걸 거부했다면, 여성이 남성과 같은 방식으로 인정받지 못하는 상황이 또 반복됐을 거예요.|on that spot = 그 자리에서 / once again = 또다시
76|저는 더 많은 여성이 자기가 이룬 창조·혁신·발견의 대모라고 불리길 바라요.|whatever ~ that they have done = 그들이 이룬 그 무엇이든
77|그럼 지금은 그 용어를 받아들이시나요, 아니면?|embrace the term = 그 용어를 받아들이다
78|'받아들인다'는 건 큰 말이죠. "안녕하세요, 저는 AI 의 대모 페이페이입니다" 하고 다니진 않아요.|a big word = 거창한 말 / go around and say = ~라고 말하고 다니다
79|하지만 당신 덕분에 사람들이 그 용어를 받아들였죠.|thanks to = ~ 덕분에
80|인공지능은 오래도록 정책·기술계에서 영원히 '코앞'에 있는 무엇으로 논의돼 왔다.|perpetually right around the corner = 영원히 코앞에 있는
81|ChatGPT 가 나오기까지, AI 는 틈새 연구 분야에서 지구상 가장 많이 회자되는 기술이 되었다.|go from A to B = A 에서 B 로 변하다 / the most talked about = 가장 많이 회자되는
82|대형 언어 모델, 이미지 생성기, 영상 생성기.|
83|갑자기 모두가 AI 사업을 하거나 하고 싶어 하는 것처럼 보였다.|be in the AI business = AI 사업을 하다
84|그리고 솔직히 말해, 꽤 멀리 왔다. 리는 기회를 보고 2024년 자신의 스타트업을 세웠다.|let's be honest = 솔직히 말해 / come pretty far = 꽤 멀리 오다
85|직접 회사를 운영하는 건 어때요?|
86|그러니까 이런 거예요. 제가 회사에서 단연 최고참이에요.|here's the thing = 실은 이래요 / by far the most senior = 단연 최고참
87|공동창업자부터 엔지니어·연구자·과학자까지 다들 정말 재능 있지만 젊기도 해요.|talented = 재능 있는
88|정말 엄마가 된 기분이에요. 그리고 종종 타이거 맘이 된 기분이죠.|oftentimes = 종종 (often 의 변형)
89|이 회사를 제 기준으로는 높은 수준으로 운영하고 있어요.|high standard = 높은 기준
90|리는 월드 모델을 발전시키는 일을 하고 있다.|advance = 발전시키다
91|ImageNet 이 AI 에게 보는 법을 가르쳤다면, 이 기술은 AI 를 물리 세계로 안내하려 한다. 공을 잡는 법을 설명하는 것과 실제로 잡는 것은 아주 다른 일이기 때문이다.|guide ~ through = ~을 …로 안내하다
92|그리고 초지능은 챗봇 너머에 있다고 그는 건다.|lie beyond = ~ 너머에 있다
93|나머지 AI 업계는 LLM 에 집중하고 있어요. LLM 이 못 하는 건 뭔가요?|
94|과학적 발견을 계속 밀어붙이고 로봇 같은 기계가 우리의 동반자가 되는 세상을 만들려면, 언어만으로는 할 수 없어요.|push scientific discovery = 과학적 발견을 밀어붙이다 / cannot do it alone = 혼자서는 할 수 없다
95|월드 모델과 공간 지능을 만드는 건 반(反) LLM 이 아니에요.|not about ~ = ~의 문제가 아니다
96|다음 개척지, 다음 장에 관한 거죠.|the next frontier = 다음 개척지
97|그럼 월드 모델이 정확히 뭔가요?|
98|월드 모델은 지금 시점에서 뜻이 너무 많이 실린 용어예요.|overloaded term = 의미가 과적된 용어
99|우리는 공간 지능을 세 가지 기능으로 봐요.|
100|하나는 렌더링, 하나는 시뮬레이션, 세 번째는 계획이에요.|rendering / simulation / planning = 렌더링·시뮬레이션·계획
101|렌더링은 월드 모델이 사람이 소비할 아름다운 픽셀을 출력하는 거예요.|for humans to consume = 사람이 소비하도록
102|아마 OpenAI 의 Sora 를 떠올리실 거예요.|most likely = 아마도
103|두 번째 부류의 월드 모델은 시뮬레이션을 하는데, 사람만 위한 게 아니에요. 기계를 위한 거죠.|serve = ~을 위해 봉사하다·쓰이다
104|세상의 실제 구조, 물리에 기반한 기하 구조를 포착하는 데 집중해요.|capture the structure = 구조를 포착하다 / geometry = 기하
105|세 번째 종류인 계획 월드 모델은 다음에 해야 할 일이 무엇인지 알게 해 줘요.|
106|예를 들어 컵이 있으면, 계획자 역할의 월드 모델은 로봇에게 그걸 집어서 다른 곳에 놓으라고 알려 주죠.|serve as a planner = 계획자 역할을 하다
107|그게 로보틱스와 아주 밀접하게 결합된 월드 모델이에요.|closely coupled with = ~와 밀접하게 결합된
108|Marble 은 월드 모델을 만들기 위한 World Labs 의 첫걸음이다.|first step towards = ~를 향한 첫걸음
109|누구나 이미지나 텍스트 프롬프트 하나로 탐색·편집 가능한 3D 세계를 만들 수 있게 하는 플랫폼이다.|explorable, editable = 탐색·편집 가능한 / from a single prompt = 프롬프트 하나로
110|자, 이건 사용자가 만든 세계의 쇼케이스 페이지예요. 방을 하나 만들었죠, 아름다운 방을요.|user-generated = 사용자 생성의
111|이걸 보면 "페이페이, 이건 그림이랑 다를 게 없잖아" 하시겠죠. 그런데 여기가 핵심이에요.|no different from = ~와 다를 게 없는
112|안에서 돌아다닐 수 있으니까 실제로 세계예요. 게임처럼 앞으로 가고, 돌아설 수 있어요.|navigate in = ~ 안을 돌아다니다
113|어디든 갈 수 있어요. 여기는 완전히 일관된 3D 세계예요.|fully consistent = 완전히 일관된
114|그럼 지금 Marble 을 누가, 어떤 회사가 쓰고 있나요?|
115|Marble 이 왜 유용하냐면요. 예를 들어 가상 프로덕션이요.|virtual production = 가상 프로덕션(영상 제작 기법)
