# 형식: id|한국어 뜻|주석   — id 는 seg.py 의 분할 결과(segs.json)에 대응.
# 말투: 진행자·올트먼 모두 격식 있는 해요체. um/uh 같은 필러는 뜻에서 뺀다.
1|OpenAI 는 Astra 를 기본적으로 AGI 를 향한 초기 단계로 규정하고 있는데요,|frame A as B = A 를 B 로 규정하다·프레이밍하다
2|그래도 대화는 우선 이전 세대 모델과 비교해 Astra 가 근본적으로 무엇이 다른지에서 시작해 보고 싶습니다.|relative to = ~에 비해 / prior generations = 이전 세대
3|느낌은, 우선, 불러 주셔서 감사합니다.|thank you for having me = 초대 감사 인사(정석)
4|우리가 가치를 만들고, 일을 하고, 새 과학을 발견하고, 새 회사를 세우거나 새 제품을 만드는 걸 정말로 도와주는 모델을 향한 여정에서 새로운 한 걸음 같은 느낌입니다.|a new step in this process towards ~ = ~를 향한 과정의 새 단계
5|직접 써 보면 주관적으로는 이전 어떤 모델과도 아주 다르게 느껴집니다.|subjectively = 주관적으로 / feel different than = ~와 다르게 느껴지다
6|이번에 달라진 대표적인 활용 사례는 어떤 건가요?|principal use case = 대표적·주된 활용 사례
7|아시다시피 그동안의 모델 세대는 코딩에 아주 집중돼 있었죠.|coding focused = 코딩 중심의 (명사+focused)
8|개발 과정 상당 부분이 사이버보안에 집중된 것도 알지만, 소프트웨어 엔지니어 얘기를 떠나서, 일반인은 이전에 못 하던 무엇을 AI 로 할 수 있게 되나요?|taking it away from ~ = ~에서 벗어나서 / unlock = (능력을) 열다·가능하게 하다
9|사람들이 바로 알아차릴 한 가지는, 아이디어가 있고 AI 와 상호작용하면서 복잡한 소프트웨어 한 벌을 통째로 만들고 싶을 때입니다.|work interactively with = ~와 주고받으며 작업하다 / a whole piece of software = 소프트웨어 한 벌
10|제가 누군가에게 "그냥 한번 써 봐"라고 말할 수 있는 첫 모델이에요. 그러니까.|give it a try = 한번 해 보다
11|될 가능성이 꽤 높거든요. 사람들이 컴퓨터 게임을 만드는 걸 봤고요.|there's a good chance (that) ~ = ~할 가능성이 꽤 높다
12|집에서 DIY 전자공학 프로젝트 같은 걸 하는 것도 봤습니다.|sort of like = 뭐랄까 (완화 필러)
