# 形式: id|読み(カタカナ, 文節で区切る)|注記(日本語)   — id は subtitles.ko.srt の行番号
# 英語だけの行は読みなし。読みは歌いやすさ優先の近似で、連音(リエゾン)を反映している。
1||曲のフック。dose of = 一服の
2|チヌン トウィ|찌다=蒸す → 찌는 더위=蒸すような(うだる)暑さ
3|チョジン ヌンコリ|처지다=垂れる / 눈꼬리=目尻
4|チャメ トゥル コッ カトゥン ノ|잠에 들다=眠りにつく / -ㄹ 것 같다=〜しそうだ
5||citrus=柑橘
6|ハンバンウル ティン|한 방울=一滴 / 튀다=はねる(過去連体形 튄)
7|マムル タムン squeeze|맘=마음(心)の縮約 / 담다=込める
8|コジャンナン ニ マムル touch|고장나다=壊れる・故障する / 네(君の)は歌では「ニ」と発音
9||
10|ハナ トゥル セッ|固有数詞 하나·둘·셋。掛け声で 셋 は「セッ」
11|マムル refresh|맘을=心を(을 は目的格)
12|サンクマン Lime juice|상큼하다=爽やかだ・すっきりしている
13||
14||gloomy=陰気な
15|ウォナヌン セグル マムデロ ソッコ|원하다=望む / 색=色 / 맘대로=思いのまま / 섞다=混ぜる(섞어=混ぜて)
16|タンスメ トゥリキョ|단숨에=一気に / 들이켜다=飲み干す(들이켜=飲み干して)
17||on a silver platter=お膳立てして
18||
19||Imma = I'm gonna
20|タルコマン Lemon fizz|달콤하다=甘い
21||
22||
23||
24|コジョガヌン heartbeat|커지다(大きくなる)+-어 가다(〜していく)=커져가는
25|パミ オムヌン ヘッピッ Yes me|밤=夜 / 없다=ない / 햇빛=日差し(発音 핻삗)
26||
27||
28||
29||
30||
31||
32||
33||
34|ニ ハルルル ピチュル テ|하루=一日 / 비추다=照らす / -ㄹ 때=〜する時
35|ミジグナン パラムン プジョケ|미지근하다=ぬるい / 바람=風 / 부족하다=足りない(부족해=足りない)
36||
37||come alive=生き返る
38||pick-me-up=元気の出るもの
39|ケウルン ニ シムジャンウル ティゲヘ|게으르다=怠ける(게으른) / 심장=心臓 / 뛰게 하다=鼓動させる(使役 -게 하다)
40|ニガ パラドン ノレル sing along|바라다=望む(-던=〜していた) / 노랠=노래를 の縮約
41||
42|ハナ トゥル セッ マムル refresh|10行目と11行目が一行に
43|セッパルガン grapefruit|새빨갛다=真っ赤だ(새-=鮮やかさの強調)
44||
45||
46|ウォナヌン セグル マムデロ ソッコ|15行目の繰り返し
47|タンスメ トゥリキョ|16行目の繰り返し
48||
49||
50||
51|タルコマン Lemon fizz|
52||
53||
54||
55|コジョガヌン heartbeat|
56|パミ オムヌン ヘッピッ Yes me|
57||
58||
59||
60||
61||
62||
63||
64||
65|ノマン ピチュヌン spotlight|너만=君だけ / 비추는=照らす(現在連体形)
66|アムド モルレ ネ ソヌル チャバ|아무도 몰래=誰にも内緒で / 손을 잡다=手を握る(잡아=握って)
67||
68||
69|ノラミョン ムォドゥンジ ナン|너라면=君なら(-라면=〜なら) / 뭐든지=何でも / 난=나는
70|ハニョルメ dreamy|한여름=真夏 / -의=〜の(発音 에)
71|チャオルヌン sparkling|차오르다=満ちてくる・こみ上げる
72||
73||
74|シングロウン wavy|싱그럽다=瑞々しい(ㅂ変則: 싱그러운)
75|コジョガヌン heartbeat|
76|パミ オムヌン ヘッピッ Yes me|
77||
78||
79||
80||
81||
82||
83||
84||
